Input				Output
 				Case #1: 0
yes				Case #2: 999337777
no				Case #3: 66666
foo bar				Case #4: 3336666660222777
hello world			Case #5: 4433555555666096667775553
hddq				Case #6: 443377
kkyhoyre			Case #7: 55559994466699977733
uzfcnb				Case #8: 8899993332226622
acx				Case #9: 222299
rbgddvtcw 			Case #10: 77722433888822290
hclntbql uu			Case #11: 44222555668227755508888
wdcugsavyc			Case #12: 9322288477772888999222
tlw				Case #13: 85559
pmtrkiiay			Case #14: 768777554444442999
 c				Case #15: 0222
xezwcgdnbeeqe			Case #16: 99339999922243662233337733
xbdkseuxgqlkx			Case #17: 992235577773388994775555599
cjedbfsw			Case #18: 22253332233377779
hsyfsxei			Case #19: 44777799933377779933444
kehnuvvyffd			Case #20: 55334466888888889993333333
iednzsvei			Case #21: 444333669999777788833444
cgvudnyjnp			Case #22: 2224888883669995667
klqrk				Case #23: 555557777755
kiaoqhfirmu			Case #24: 5544426667744333444777688
ym fw pzdbw			Case #25: 9996033390799993229
jdz				Case #26: 539999
borbesw				Case #27: 22666777223377779
ckjsgrrr 			Case #28: 222555777747777777770
pvi elns			Case #29: 7888444033555667777
owpnkykbovps			Case #30: 666976655999552266688877777
hqkwe yozri			Case #31: 44775593309996669999777444
ijg yb				Case #32: 44454099922
nqdoazstpgkysf			Case #33: 66773666299997777874559997777333
msszwreoc			Case #34: 6777777779999977733666222
ndfxj teg			Case #35: 66333399508334
ufaviwl				Case #36: 8833328884449555
wxhscjasjne k			Case #37: 99944777722252777756633055
pbaamphpelja			Case #38: 72222674473355552
 opkrduk			Case #39: 066675577738855
kjihlh				Case #40: 5554444455544
cxbdnkmchcyt			Case #41: 2229922366556222442229998
rpuluy				Case #42: 77778855588999
oepgumcc			Case #43: 6663374886222222
wgaduzdluecjv			Case #44: 9423889999355588332225888
rdzo				Case #45: 77739999666
kzr				Case #46: 559999777
du				Case #47: 388
f njh ppynzc			Case #48: 333066544077999669999222
ddl				Case #49: 33555
kkeuuh 				Case #50: 5555338888440
gzo				Case #51: 49999666
ep				Case #52: 337
lrfwpvrwswnbro			Case #53: 555777333978887779777796622777666
uf				Case #54: 88333
wijamwj				Case #55: 944452695
nvqiepe				Case #56: 668887744433733
rt				Case #57: 7778
acwaxeh				Case #58: 222292993344
cqmgd uhcldds			Case #59: 2227764308844222555337777
uxryfve				Case #60: 889977799933388833
uonjrx				Case #61: 8866666577799
hfjrplomjw			Case #62: 4433357777555666659
zbcvzb				Case #63: 999922222888999922
qsjacnxv			Case #64: 777777522226699888
ecvskxckxt			Case #65: 332228887777559922255998
yyxmdsnvvpjrp			Case #66: 9999999963777766888888757777
qmwjid				Case #67: 776954443
ovzjiizibnz			Case #68: 66688899995444444999944422669999
zyyrvraxdc ga			Case #69: 99999999997778887772993222042
vqsufbrbt			Case #70: 8887777778833322777228
pyfxxzz				Case #71: 7999333999999999999
r lultcbltjp			Case #72: 777055588555822222555857
fmqzvvt x			Case #73: 33367799998888888099
wkvpbjqnu			Case #74: 9558887225776688
ptzhkkxoyrjs			Case #75: 7899994455559966699977757777
eix				Case #76: 3344499
olih				Case #77: 66655544444
eblhxhang			Case #78: 33225554499442664
gwlc				Case #79: 49555222
bzqhsfaal 			Case #80: 22999977447777333225550
ecoanr				Case #81: 33222666266777
uvkqtluuekf			Case #82: 888885577855588883355333
knc				Case #83: 5566222
crknhjyxplzh			Case #84: 2227775566445999997555999944
suqotqfdnb			Case #85: 7777887766687733336622
vcm				Case #86: 8882226
idosqppcl			Case #87: 444366677777777222555
zdayayeijgsk			Case #88: 99993299929993344454777755
jhnbrk				Case #89: 544662277755
eocyoktsgruu			Case #90: 33666222999666558777747778888
wpk				Case #91: 9755
ajnxkbxqoj tr			Case #92: 25669955229977666508777
msan				Case #93: 67777266
xnkxog				Case #94: 996655996664
haoznacoh			Case #95: 442666999966222266644
kw				Case #96: 559
ys				Case #97: 9997777
jc utumijxbn			Case #98: 522208888864445992266
rmcfbojv			Case #99: 7776222333226665888
ibuiqcawfvhm			Case #100: 44422884447722229333888446
